# Missing ingredients from recipe NLG dataset
#
# Columns: ingredient,proposed_category,proposed_subcategory,proposed_food_group,proposed_major_group
# Categories/subcategories may be NEW (see MISSING_CATEGORIES.txt and MISSING_SUBCATEGORIES.txt).
# Major group: animal | plant | dairy (drives sphere RGB color).
#
ingredient,proposed_category,proposed_subcategory,proposed_food_group,proposed_major_group
beer -,Alcoholic beverages,Beer,Condiments & sauces,plant
beers,Alcoholic beverages,Beer,Condiments & sauces,plant
beetroot,Starchy vegetables,Beet,Vegetables,plant
beetroots,Starchy vegetables,Beet,Vegetables,plant
bell seasoning,Spice blends,American blends,Herbs & spices,plant
bell's poultry seasoning,Spice blends,American blends,Herbs & spices,plant
bell's seasoning,Spice blends,American blends,Herbs & spices,plant
berries,Berries,Berries,Fruits,plant
berry,Berries,Berries,Fruits,plant
berry juice,Berries,Berries,Fruits,plant
berry preserves,Jams & preserves,Fruit preserves,Sweets,plant
berry-flavored vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
betty crocker fluffy white frosting mix,Sweets,Confectionery,Sweets,plant
bib lettuce,Leafy greens,Lettuce,Vegetables,plant
bibb,Leafy greens,Lettuce,Vegetables,plant
bibb lettuce,Leafy greens,Lettuce,Vegetables,plant
bibb lettuce leaves,Leafy greens,Lettuce,Vegetables,plant
bird chile,Non-starchy vegetables,Chili peppers,Vegetables,plant
bird chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
bird chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
bird chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
bird seed,Seeds,Seeds,Nuts & seeds,plant
birds eye chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
birdseye chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
biryani masala,Spice blends,Indian blends,Herbs & spices,plant
biscotti,Bread & baked goods,Cookies,Grains,plant
biscuit,Bread & baked goods,Biscuits,Grains,plant
biscuit baking,Bread & baked goods,Biscuits,Grains,plant
biscuit baking mix,Bread & baked goods,Biscuits,Grains,plant
biscuit crumbs,Bread & baked goods,Biscuits,Grains,plant
biscuit crust,Bread & baked goods,Biscuits,Grains,plant
biscuit dough,Bread & baked goods,Biscuits,Grains,plant
biscuit mix,Bread & baked goods,Biscuits,Grains,plant
biscuit topping,Bread & baked goods,Biscuits,Grains,plant
biscuit/baking,Bread & baked goods,Biscuits,Grains,plant
biscuit/baking mix,Bread & baked goods,Biscuits,Grains,plant
biscuits,Bread & baked goods,Biscuits,Grains,plant
bisquick,Prepared mixes,Baking mixes,Grains,plant
bisquick baking,Prepared mixes,Baking mixes,Grains,plant
bisquick baking mix,Prepared mixes,Baking mixes,Grains,plant
bisquick biscuit mix,Bread & baked goods,Biscuits,Grains,plant
bisquick mix,Prepared mixes,Baking mixes,Grains,plant
bisquick original,Prepared mixes,Baking mixes,Grains,plant
bisquick original baking mix,Prepared mixes,Baking mixes,Grains,plant
bisquick reduced,Prepared mixes,Baking mixes,Grains,plant
bisquick reduced-fat,Prepared mixes,Baking mixes,Grains,plant
bittersweet,Sweets,Chocolate,Sweets,plant
black bass,White fish,Saltwater white fish,Protein (animal),animal
black berries,Berries,Berries,Fruits,plant
black candy melts,Sweets,Confectionery,Sweets,plant
black coffee,Coffee & tea,Coffee,Herbs & spices,plant
black decorating icing,Sweets,Confectionery,Sweets,plant
black eye peas,Legumes,Peas,Protein (plant),plant
black food coloring,Extracts & essences,Food coloring,Herbs & spices,plant
black gel food coloring,Extracts & essences,Food coloring,Herbs & spices,plant
black gumdrops,Sweets,Confectionery,Sweets,plant
black icing,Sweets,Confectionery,Sweets,plant
black oil,Oils,Vegetable oils,Fats & oils,plant
black paste food coloring,Extracts & essences,Food coloring,Herbs & spices,plant
black peppercorn,Dried spices,Whole spices,Herbs & spices,plant
black peppercorns cracked,Dried spices,Whole spices,Herbs & spices,plant
black pudding,Prepared mixes,Puddings,Sweets,plant
black rum,Alcoholic beverages,Rum,Condiments & sauces,plant
black salt,Salt & seasonings,Salt,Herbs & spices,plant
black sambuca,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
black sesame,Seeds,Sesame,Nuts & seeds,plant
black sesame paste,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
black sesame powder,Seeds,Sesame,Nuts & seeds,plant
black tea,Coffee & tea,Tea,Herbs & spices,plant
black tea bags,Coffee & tea,Tea,Herbs & spices,plant
black tea leaves,Coffee & tea,Tea,Herbs & spices,plant
black vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
black vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
black-eye peas,Legumes,Peas,Protein (plant),plant
black-eyed,Legumes,Beans,Protein (plant),plant
blackened seasoning,Spice blends,American blends,Herbs & spices,plant
blackening seasoning,Spice blends,American blends,Herbs & spices,plant
blackening spice,Spice blends,American blends,Herbs & spices,plant
blackeyed peas,Legumes,Peas,Protein (plant),plant
blade roast,Red meat,Beef,Protein (animal),animal
blade steak,Red meat,Beef,Protein (animal),animal
blanco tequila,Alcoholic beverages,Tequila,Condiments & sauces,plant
blend cheese,Aged cheese,Aged cheese,Dairy,dairy
blended oatmeal,Whole grains,Oats,Grains,plant
blended oil,Oils,Vegetable oils,Fats & oils,plant
blended whiskey,Alcoholic beverages,Whisky,Condiments & sauces,plant
bleu cheese,Aged cheese,Aged cheese,Dairy,dairy
bleu cheese crumbles,Aged cheese,Aged cheese,Dairy,dairy
bleu cheese salad dressing,Aged cheese,Aged cheese,Dairy,dairy
block cheese,Aged cheese,Aged cheese,Dairy,dairy
blue curacao,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
bocconcini,Fresh cheese,Mozzarella,Dairy,dairy
bocconcini cheese,Aged cheese,Aged cheese,Dairy,dairy
bock beer,Alcoholic beverages,Beer,Condiments & sauces,plant
boil lasagna noodles,Refined grains,Pasta,Grains,plant
boil seasoning,Spice blends,American blends,Herbs & spices,plant
boiled cider,Alcoholic beverages,Cider,Condiments & sauces,plant
boiling broth,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
boiling coffee,Coffee & tea,Coffee,Herbs & spices,plant
boiling salt water,Salt & seasonings,Salt,Herbs & spices,plant
boiling salted water,Salt & seasonings,Salt,Herbs & spices,plant
boiling vegetable stock,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
bolillo rolls,Bread & baked goods,Bread,Grains,plant
bologna,Processed meat,Deli,Protein (animal),animal
bonded rye whiskey,Alcoholic beverages,Whisky,Condiments & sauces,plant
bone broth,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
boneless chuck,Red meat,Beef,Protein (animal),animal
boneless chuck steak,Red meat,Beef,Protein (animal),animal
boneless roast,Red meat,Beef,Protein (animal),animal
boneless round steak,Red meat,Beef,Protein (animal),animal
boneless rump roast,Red meat,Beef,Protein (animal),animal
boneless sirloin,Red meat,Beef,Protein (animal),animal
boneless sirloin steak,Red meat,Beef,Protein (animal),animal
boneless sirloin steaks,Red meat,Beef,Protein (animal),animal
boneless sirloin tip roast,Red meat,Beef,Protein (animal),animal
boneless steak,Red meat,Beef,Protein (animal),animal
boneless stew meat,Red meat,Beef,Protein (animal),animal
boneless veal,Red meat,Veal,Protein (animal),animal
boneless white fish,White fish,Saltwater white fish,Protein (animal),animal
bonito flakes,Shellfish,Other,Protein (animal),animal
bonnet margarine,Margarine & shortening,Margarine,Fats & oils,plant
borlotti,Legumes,Beans,Protein (plant),plant
boston lettuce,Leafy greens,Lettuce,Vegetables,plant
boston lettuce leaf,Leafy greens,Lettuce,Vegetables,plant
boston lettuce leaves,Leafy greens,Lettuce,Vegetables,plant
bottle ale,Alcoholic beverages,Beer,Condiments & sauces,plant
bottle red food coloring,Extracts & essences,Food coloring,Herbs & spices,plant
bottled oil,Oils,Vegetable oils,Fats & oils,plant
bottles beer,Alcoholic beverages,Beer,Condiments & sauces,plant
bottles catsup,Condiments & sauces,Tomato condiments,Condiments & sauces,plant
bottles champagne,Alcoholic beverages,Wine,Condiments & sauces,plant
bottles dry red wine,Alcoholic beverages,Wine,Condiments & sauces,plant
bottles dry white wine,Alcoholic beverages,Wine,Condiments & sauces,plant
bottles lager beer,Alcoholic beverages,Beer,Condiments & sauces,plant
bottles red food coloring,Extracts & essences,Food coloring,Herbs & spices,plant
bottles red wine,Alcoholic beverages,Wine,Condiments & sauces,plant
bottles sparkling water,Soft drinks,Soft drinks,Sweets,plant
bottles sprite,Soft drinks,Soft drinks,Sweets,plant
bottles vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
bouillon,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
bouillon better,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
bouillon broth,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
bouillon cube,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
bouillon cubes,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
bouillon granules,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
bouillon powder,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
bouillon soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
bouquet garni,Spice blends,European blends,Herbs & spices,plant
bouquet garni consisting,Spice blends,European blends,Herbs & spices,plant
bourbon,Alcoholic beverages,Whisky,Condiments & sauces,plant
bourbon vanilla,Alcoholic beverages,Whisky,Condiments & sauces,plant
bourbon whiskey,Alcoholic beverages,Whisky,Condiments & sauces,plant
bourbon whisky,Alcoholic beverages,Whisky,Condiments & sauces,plant
boursin cheese,Aged cheese,Aged cheese,Dairy,dairy
bowl whipped topping,Prepared mixes,Whipped toppings,Sweets,dairy
box jello,Prepared mixes,Gelatins,Sweets,plant
box spaghetti,Refined grains,Pasta,Grains,plant
box wheat thins crackers,Bread & baked goods,Crackers,Grains,plant
boxes jello,Prepared mixes,Gelatins,Sweets,plant
boysenberry preserves,Jams & preserves,Fruit preserves,Sweets,plant
boysenberry syrup,Sweets,Syrup,Sweets,plant
braggs,Condiments & sauces,Asian sauces,Condiments & sauces,plant
braising steak,Red meat,Beef,Protein (animal),animal
bran,Whole grains,Whole grains,Grains,plant
bran buds,Whole grains,Whole grains,Grains,plant
bran cereal,Prepared mixes,Cereals,Grains,plant
bran flake,Whole grains,Whole grains,Grains,plant
bran flakes,Whole grains,Whole grains,Grains,plant
bran flakes cereal,Prepared mixes,Cereals,Grains,plant
bran oil,Whole grains,Whole grains,Grains,plant
brand chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
brandy,Alcoholic beverages,Brandy,Condiments & sauces,plant
brandy flavoring,Extracts & essences,Extracts,Herbs & spices,plant
brandy optional,Alcoholic beverages,Brandy,Condiments & sauces,plant
brat buns,Bread & baked goods,Rolls,Grains,plant
breadcrumb,Bread & baked goods,Bread crumbs,Grains,plant
breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
breadcrumbs fresh,Bread & baked goods,Bread crumbs,Grains,plant
breadstick,Bread & baked goods,Bread,Grains,plant
breadsticks,Bread & baked goods,Bread,Grains,plant
brick cheese,Aged cheese,Aged cheese,Dairy,dairy
brick chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
brioches,Bread & baked goods,Bread,Grains,plant
brisket,Red meat,Beef,Protein (animal),animal
broiler-fryer,Poultry,Chicken,Protein (animal),animal
broiler-fryers,Poultry,Chicken,Protein (animal),animal
broilers,Poultry,Chicken,Protein (animal),animal
broken nut meats,Nuts,Tree nuts,Nuts & seeds,plant
broken nutmeats,Nuts,Tree nuts,Nuts & seeds,plant
broken spaghetti,Refined grains,Pasta,Grains,plant
broth,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
broth from,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
brown ale,Alcoholic beverages,Beer,Condiments & sauces,plant
brown beer,Alcoholic beverages,Beer,Condiments & sauces,plant
brown breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
brown food coloring,Extracts & essences,Food coloring,Herbs & spices,plant
brown gravy,Prepared mixes,Seasoning mixes,Condiments & sauces,plant
brown gravy mix,Prepared mixes,Seasoning mixes,Condiments & sauces,plant
brown patties,Processed meat,Fresh sausage,Protein (animal),animal
brown spread,Condiments & sauces,Spreads,Condiments & sauces,plant
brown stock,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
brown syrup,Sweets,Syrup,Sweets,plant
brown veal,Red meat,Veal,Protein (animal),animal
brown veal stock,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
brown vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
brownie,Sweets,Confectionery,Sweets,plant
brownie base,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
brownie batter,Sweets,Confectionery,Sweets,plant
brownie bites,Sweets,Confectionery,Sweets,plant
brownie layer,Sweets,Confectionery,Sweets,plant
brownie mix,Prepared mixes,Cake mixes,Sweets,plant
brownies,Sweets,Confectionery,Sweets,plant
brummel & brown spread,Condiments & sauces,Spreads,Condiments & sauces,plant
brussels,Cruciferous vegetables,Brussels sprouts,Vegetables,plant
brut champagne,Alcoholic beverages,Wine,Condiments & sauces,plant
bucatini,Refined grains,Pasta,Grains,plant
buffalo,Red meat,Game,Protein (animal),animal
buffalo meat,Red meat,Game,Protein (animal),animal
bulgar wheat,Whole grains,Wheat,Grains,plant
bun,Bread & baked goods,Rolls,Grains,plant
bunches coriander,Dried spices,Seed spices,Herbs & spices,plant
bunches leaf lettuce,Leafy greens,Lettuce,Vegetables,plant
bunches romaine,Leafy greens,Lettuce,Vegetables,plant
buns,Bread & baked goods,Rolls,Grains,plant
burger,Processed meat,Fresh sausage,Protein (animal),animal
burger bun,Bread & baked goods,Rolls,Grains,plant
burger buns,Bread & baked goods,Rolls,Grains,plant
burger patties,Processed meat,Fresh sausage,Protein (animal),animal
burger rolls,Bread & baked goods,Bread,Grains,plant
burgers,Processed meat,Fresh sausage,Protein (animal),animal
burgundy,Alcoholic beverages,Wine,Condiments & sauces,plant
burgundy wine,Alcoholic beverages,Wine,Condiments & sauces,plant
burrito shells,Refined grains,Pasta,Grains,plant
butt roast,Red meat,Beef,Protein (animal),animal
buttercream frosting,Sweets,Confectionery,Sweets,plant
buttercream icing,Sweets,Confectionery,Sweets,plant
buttered,Cream & butter,Butter,Dairy,dairy
buttered breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
buttered cracker crumbs,Bread & baked goods,Crackers,Grains,plant
buttered crisco,Margarine & shortening,Shortening,Fats & oils,plant
buttered croutons,Bread & baked goods,Croutons,Grains,plant
buttered crumbs,Cream & butter,Butter,Dairy,dairy
buttered noodles,Cream & butter,Butter,Dairy,dairy
buttered soft breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
buttered toast,Bread & baked goods,Bread,Grains,plant
butterfinger,Sweets,Confectionery,Sweets,plant
butterfingers,Sweets,Confectionery,Sweets,plant
butterhead lettuce,Leafy greens,Lettuce,Vegetables,plant
butternut,Starchy vegetables,Winter squash,Vegetables,plant
butternut flavoring,Extracts & essences,Extracts,Herbs & spices,plant
butterscotch,Sweets,Confectionery,Sweets,plant
butterscotch bits,Sweets,Confectionery,Sweets,plant
butterscotch chips,Sweets,Confectionery,Sweets,plant
butterscotch flavored morsels,Sweets,Confectionery,Sweets,plant
butterscotch instant pudding,Prepared mixes,Puddings,Sweets,plant
butterscotch morsels,Sweets,Confectionery,Sweets,plant
butterscotch pieces,Sweets,Confectionery,Sweets,plant
butterscotch pudding,Sweets,Confectionery,Sweets,plant
butterscotch pudding mix,Prepared mixes,Puddings,Sweets,plant
butterscotch schnapps,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
butterscotch syrup,Sweets,Confectionery,Sweets,plant
butterscotch tidbits,Sweets,Confectionery,Sweets,plant
butterscotch topping,Sweets,Confectionery,Sweets,plant
buttery cracker,Bread & baked goods,Crackers,Grains,plant
buttery cracker crumbs,Bread & baked goods,Crackers,Grains,plant
buttery crackers,Bread & baked goods,Crackers,Grains,plant
buttery round crackers,Bread & baked goods,Crackers,Grains,plant
buttery spread,Condiments & sauces,Spreads,Condiments & sauces,plant
cabernet,Alcoholic beverages,Wine,Condiments & sauces,plant
cabernet sauvignon,Alcoholic beverages,Wine,Condiments & sauces,plant
cabernet sauvignon wine,Alcoholic beverages,Wine,Condiments & sauces,plant
